Words,Definitions,Examples
reprobation,severe disapproval,"Mr. Conway denounced this scheme as ""utterly and flagrantly unconstitutional, as radically revolutionary in character and deserving the reprobation of every loyal citizen."""
resonant,characterized by a loud deep sound,"His eyes were piercing but sad, his voice grand and resonant, suiting well the wrathful, impassioned Calvinism of his sermons."
resource,a new or reserve supply that can be drawn upon when needed,"“Economists assume that, under normal conditions, markets will allocate resources efficiently,” he added."
restrained,not showy or obtrusive,"By contrast, Mr. Pei’s restrained design took time to claim my attention, particularly since it sat quietly next door to Saarinen’s concrete gull wings."
retainer,a person working in the service of another,This faithful and trusted retainer is greatly valued by his employers.
retentive,good at remembering,"The child was very sharp, and her memory was extremely retentive."
reticent,not inclined to talk or provide information,"No questions were asked, and few indeed were the words spoken, his reticent manner preventing any undue familiarity."
retinue,the group following and attending to some important person,"Despite his retinue of security personnel, Atambaev had been poisoned during his short tenure as prime minister."
retiring,not arrogant or presuming,"Foster was an extremely modest, unworldly, retiring gentleman."
retort,a quick reply to a question or remark,"Having put him in ill humour with this retort, she fled away rejoicing."
retrench,tighten one's belt; use resources carefully,But there was only one way open to me at present—and that was to retrench my expenses.
revelry,unrestrained merrymaking,"But all this revelry — dancing, drinks, exuberant youth — can be hard to manage."
reverie,an abstracted state of absorption,"He stood still, seemingly lost in reverie, and quite oblivious to the group about him."
revulsion,intense aversion,"After a first instinctive cry of horrified revulsion, the men reached down under water with their hands and drew out—a corpse."
rhetoric,using language effectively to please or persuade,His fiery rhetoric in support of limiting cuts to projected defense spending has surprised and impressed some of Obama's toughest Republican critics.
rider,a traveler who actively sits and travels on an animal,"In horseback riding, a rider will give commands by squeezing or lengthening the reins and altering the position of his legs."
rile,"disturb, especially by minor irritations",The prospect of seeing Ms. Palin tour Alaska’s wild habitats may rile some people who oppose her opinions about climate change.
ripple,stir up so as to form small waves,That could precipitate higher interest rates that would ripple across the economy.
rococo,having excessive asymmetrical ornamentation,The upper part of the case is decorated with elaborately carved and gilt rococo motifs.
roil,be agitated,"Like thousands of fellow students, he was roiled with emotions, struggling to come to grips with an inescapable reality."
roseate,of something having a dusty purplish pink color,"Behind the trees rough, lichened rock and stony slopes ran up to a bare ridge, silhouetted against the roseate glow of the morning sky."
rout,an overwhelming defeat,"It's how Seattle won Sunday's game in Chicago, scoring 31 consecutive second-half points as an impressive comeback became an overwhelming rout."
rubric,category name,"Ms. Moss took issue, not surprisingly, with the notion that grouping the performances under the rubric of spirituality was a marketing ploy."
rudiment,the elementary stage of any subject,"He retraced his steps, and came to Cape Girardeau, in Missouri, where he remained some time, acquiring the rudiments of the English language."
ruse,"a deceptive maneuver, especially to avoid capture","Overseas criminals use elaborate ruses, including phony websites, to trick job-seekers into helping transfer stolen funds."
salient,"conspicuous, prominent, or important","Bullying has become an increasingly salient problem for school-age children, and in rare cases has ended tragically with victims committing suicide."
sanction,give authority or permission to,The Securities and Exchange Commission said last year it had sanctioned 39 senior officers for conduct related to the housing market meltdown.
sate,fill to contentment,"His appetite was not sated by any means, but he knew the danger of overloading his stomach, so he stopped."
satire,witty language used to convey insults or scorn,"There’s plenty of humor on Russian television, though not much political satire; Mr. Putin put a stop to that long ago."
saturnine,bitter or scornful,"Only when Bill Lightfoot spoke did he look up, and then with a set sneer, growing daily more saturnine."
savant,a learned person,Frank had studied something of almost everything and imagined himself a savant.
scabbard,a sheath for a sword or dagger or bayonet,"Drawing his own sabre from its scabbard, he pointed to a stain on it, saying, ""This is the blood of an Englishman."""
scale,relative magnitude,"And there might not be much money, so fashion shows are done on a much smaller scale."
scarce,deficient in quantity or number compared with the demand,"Meanwhile, heating oil could grow more scarce in the Northeast this winter, the Energy Department warned last month."
scheme,an elaborate and systematic plan of action,"Some companies in the Globe District of Arizona have started extensive underground schemes for mining large tonnages very cheaply by ""caving"" methods."
scintilla,a tiny or scarcely detectable amount,"Gardner ""never expressed one scintilla of remorse for his attack upon the victim"" despite overwhelming evidence, prosecutors wrote in a sentencing memo."
scrupulous,having ethical or moral principles,The reason is that the vast majority of businesses are scrupulous and treat their employees well.
scrutinize,"look at critically or searchingly, or in minute detail","Fans and commentators are scrutinizing every blemish: his turnovers, his weak left hand, his jump shot."
sedulous,marked by care and persistent effort,Sedulous attention and painstaking industry always mark the true worker.
seemly,according with custom or propriety,"The Baron was less conscientious, for he ate more beefsteak than was seemly, and talked a great deal of stupid nonsense, as was his wont."
seethe,be in an agitated emotional state,"Outwardly quite calm and matter-of-fact, his mind was in a seething turmoil."
semblance,the outward or apparent appearance or form of something,"He was perceptibly older, in the way in which people look older all at once after having long kept the semblance of youth."
sententious,abounding in or given to pompous or aphoristic moralizing,He is the village wise man; very sententious; and full of profound remarks on shallow subjects.
sentient,endowed with feeling and unstructured consciousness,"The money fluttered from his hand to the floor, where it lay like a sentient thing, staring back as if mocking him."
sentinel,a person employed to keep watch for some anticipated event,"The prisoners undressed themselves as usual, and went to bed, observed by the sentinel."
sextant,an instrument for measuring angular distance,"For example, a sextant could be used to sight the sun at high noon in order to determine one’s latitude."
sherbet,a frozen dessert made primarily of fruit juice and sugar,"""One person said it looks like a big lime sherbet ice cream cone!"""
siege,an action of an armed force that surrounds a fortified place,"Rebellion broke out, and finally the aged Caliph, after enduring a siege of several weeks, was murdered in his own house."
simper,"smile in an insincere, unnatural, or coy way","Mrs. Barnett's mouth simpered at the implied flattery; but her eyes, always looking calculatingly for substantial results, were studying Reedy Jenkins."
sinecure,a job that involves minimal duties,"He would have repudiated the notion that he was looking for a sinecure, but no doubt considered that the duties would be easy and light."
sinuous,curved or curving in and out,"In origami parlance, Mr. Joisel was a wet-folder, dampening his paper so that he could coax it into sinuous curves."
skill,an ability that has been acquired by training,He says many new drivers are terrified of motorway driving because they do not have the skills or confidence needed.
skittish,"unpredictably excitable, especially of horses",That combined with his calm and reassuring tone made me think of an animal trainer trying to woo skittish wild animals.
slay,kill intentionally and with premeditation,"""It were shame,"" said Lancelot, ""for an armed to slay an unarmed man."""
sleight,adroitness in using the hands,"The trick was performed Tuesday by Russell Fitzgerald, an amateur magician known to open meetings with a little sleight of hand."
slew,a large number or amount or extent,"In fact, intense focus may be one reason why so-called savants become so extraordinary at performing extensive calculations or remembering a slew of facts."
sluice,pour as if from a conduit that carries a rapid flow of water,"At 4:15 p.m., as the rain was sluicing off roofs in sheets, the firemen moved the trucks to higher ground."
smattering,a small number or amount,Only a smattering of fans remained for all four ghastly quarters.
sob,weep convulsively,"He cried and trembled, sobbing, while they spoke, like the child he was."
sonorous,full and loud and deep,"His voice rang out firmly now, a deep and sonorous bass."
spangle,adornment consisting of a small piece of shiny material,"Magdalen's garments are rich with spangles; her mantle is scarlet; she has flowers in her luxuriant tresses, and looks a vain creature."
spat,a quarrel about petty points,"Public spats are rare in the asset-management industry, where companies typically resolve disputes behind closed doors."
spate,a large number or amount or extent,French authorities are already reporting a rising spate of calls to emergency services by homeowners whose once-frozen water mains have now burst.
specious,plausible but false,"You might be tempted to think of the biggest airline as the one with the most aircraft, but capacity differences make this reasoning specious."
spectral,resembling or characteristic of a phantom,Hawthorne’s figures are somewhat spectral; they lack flesh and blood.
squalor,sordid dirtiness,"What can be expected of human beings, crowded in such miserable habitations, living in filth and squalor, and often pinched with hunger?"
squeamish,easily disturbed or disgusted by unpleasant things,"But please note that this gunfire-fueled film is for mature audiences; given its content, young and/or squeamish viewers should avoid this one."
staid,characterized by dignity and propriety,He was prim and staid and liked to do things in an orderly fashion.
stake,a strong wooden or metal post driven into the ground,"His remains were buried in Cannon Street, and a stake was driven through the body."
stanch,stop the flow of a liquid,"She did not attempt to stanch her tears, but sat looking at him with a smiling mouth, while the heavy drops fell down her cheeks."
steep,having a sharp inclination,"It was narrow and very steep, and had precipices in all parts, so that they could not mount upward except one at a time."
stentorian,very loud or booming,"If a hundred voices shouted in opposition, his stentorian tones still made themselves heard above the uproar."
stilted,artificially formal or stiff,"But thanks to the stilted writing and stiff acting, the characters still feel very much like one-dimensional figures from a dutiful fable."
stint,an unbroken period of time during which you do something,"He found his unionized warehouse job after a stint working for his father, an accountant."
stipulate,make an express demand or provision in an agreement,"The mayor has an executive order in place stipulating that all top officials, except those granted a waiver, live in the city."
stock,capital raised by a corporation through the issue of shares,"In other words, Apple’s stock is cheap, and you should buy it."
straight,"successive, without a break","After three straight losing seasons, Hoosiers fans were just hoping for a winning record."
stratum,a group of people sharing similar wealth and status,"She belonged to the upper stratum of the profession, and, knowing it, could not sink."
striate,mark with stripes of contrasting color,"The body is striated with clearly defined, often depressed lines, which run longitudinally and sometimes spirally."
stricture,severe criticism,"While gratefully accepting the generous praises of our friends, we must briefly reply to some strictures by our critics."
stultify,deprive of strength or efficiency; make useless or worthless,"Far from being engines of economic growth, Egypt's leading cities are stultified."
stump,cause to be perplexed or confounded,"Though family members long suspected Evans, a local handyman who frequently hired local youths, the case stumped investigators for years."
stupendous,"so great in size, force, or extent as to elicit awe",The fact was so stupendous that Terry felt almost frightened over the great good fortune.
suavity,the quality of being charming and gracious in manner,"His combativeness was harnessed to his suavity, and he could be forcible and at the same time persuasive."
subaltern,inferior in rank or status,The careful commanding officer of a regiment discourages his young subalterns from taking leave to Hill Stations.
subjugate,make subservient; force to submit or subdue,The Confederacy was led by thoroughgoing racists who wanted to keep blacks subjugated for all time because of the color of their skin.
sublimate,direct energy or urges into useful activities,"They might instead have passionate friendships, or sublimate their urges into other pursuits."
sublime,of high moral or intellectual value,"He was uneven, disproportioned, saying ordinary things on great occasions, and now and then, without the slightest provocation, uttering the sublimest and most beautiful thoughts."
subside,wear off or die down,"Affliction is allayed, grief subsides, sorrow is soothed, distress is mitigated."
substantial,real; having a material or factual existence,Defence lawyers said the large number of forensic tests which had been carried out had failed to find any substantial evidence linked to the accused.
succor,assistance in time of difficulty,"Given his health woes, succession worries and persistent isolation, Mr. Kim may simply be seeking succor from what may be his last friend on earth."
suffrage,a legal right to vote,There has been a great deal said in this country of late in regard to giving the right of suffrage to women.
sully,make dirty or spotty,"Why sully the reputation of an otherwise fascinating online community with really deeply questionable, troubling content?"
sultry,characterized by oppressive heat and humidity,New guidelines from the American Academy of Pediatrics arrive just as school sports ramp up in sultry August temperatures.
superannuated,too old to be useful,"Civil servants are superannuated at fifty-five years of age and are sent home on a pension, seldom enjoying life longer than two years afterward."
supercilious,having or showing arrogant superiority,"A supercilious, patronizing person—son of a wretched country parson—used to loll against the wall of your salon—with his nose in the air."
suppliant,humbly entreating,The colonists asked for nothing but what was clearly right and asked in the most respectful and even suppliant manner.
surly,unfriendly and inclined toward anger or irritation,"But Blake, being surly and quarrelsome even when sober, gave the lapel a savage jerk, and reached out with his other hand."
surreptitious,marked by quiet and caution and secrecy,"He noticed that the peddler was eying the bag Scotty had picked up, and was trying to be surreptitious about it."
suspended,supported or kept from sinking or falling by buoyancy,"Frustrating enough at ground level, but can you imagine the agony about a stranded, ever-soggier Oreo being suspended 11 feet above the ground?"
swerve,an erratic turn from an intended course,"However, I was not going to swerve from my word."
sybarite,a person addicted to luxury and pleasures of the senses,"He was not used to travelling on omnibuses, being something of a sybarite who spared nothing to ensure his own comfort."
sycophant,a person who tries to please someone to gain an advantage,The people around the king are sycophants who are looking after their own personal advantage.
syllogism,reasoning in which a conclusion is derived from two premises,"The conclusions arrived at by means of syllogisms are irresistible, provided the form be correct and the premises be true."
symmetry,balance among the parts of something,"Even the staging displays symmetry, with actors lined up on either side in formal precision."
tarry,leave slowly and hesitantly,"For two days I tarried in Paris, settling my little property."
tawdry,tastelessly showy,"It was a tawdry affair, all Cupids and cornucopias, like a third-rate wedding cake."
teem,be full of or abuzz with,"The coast, once teeming with traffic, is now lonely and deserted."
temper,a characteristic state of feeling,"Oscar Wilde, to do him justice, bore this sort of rebuff with astonishing good temper and sweetness."
temporize,draw out a discussion or process in order to gain time,"So he temporized and beat about the bush, and did not touch first on that which was nearest his heart."
tenable,based on sound reasoning or evidence,"First, it is no longer really tenable – and in fact a bit disrespectful – to call a country like China an emerging economy."
tenacious,stubbornly unyielding,"She was a tenacious woman, one who would even hold fast a thing which she no longer valued, simply because it belonged to her."
territory,the geographical area under the jurisdiction of a state,"On Friday, West Africa regional group Ecowas condemned the rebels, urging them to end hostilities and surrender all occupied territory."
testator,a person who makes a will,"This will was drawn up by me some years since at the request of the testator, who was in good health, mentally and bodily."
theory,a well-substantiated explanation of some aspect of the world,"Testing that theory begins Saturday night, as the Capitals take on Tampa Bay in another important contest."
thrall,the state of being under the control of another person,"Then Kiss commenced in earnest, and quickly held his audience in thrall."
threadbare,thin and tattered with age,"They were all poor folk, wrapped in threadbare cloaks or tattered leather."
throng,press tightly together or cram,Deafening cheers rent the air as he landed; hundreds thronged around him to clasp his hand.
tide,the periodic rise and fall of the sea level,"In the case of mobile connectivity, a rising tide does not lift all boats."
toil,work hard,"He toiled in the sweat of his brow, tilling the stubborn ground, taking out stones, building fences."
tour,a route all the way around a particular place or area,He typed in “South Park” and took senior executives on a tour of Web sites offering pirated episodes.
tout,advertise in strongly positive terms,"Testing is being touted as the means of making the U.S. education system competitive, even world-class."
tract,a system of body parts that serves some specialized purpose,"When probiotics flourish in the digestive tract, nutrients are better absorbed and bad bugs are held at bay, research suggests."
traduce,speak unfavorably about,For Grover Cleveland there were no longer enemies to traduce and vilify.
trappings,ornaments; embellishments to or characteristic signs of,They were caparisoned in Indian fashion with gay colors and fancy trappings.
tread,a step in walking or running,"The farmer went down, his clumsy boots making no sound on the uncarpeted stairway, so careful was his tread."
trenchant,having keenness and forcefulness and penetration in thought,"They are written in a serio-comic tone, and for sparkling wit, trenchant sarcasm, and dramatic dialectics surpass anything ever penned by Lessing."
tribunal,an assembly to conduct judicial business,"The military has historically been protected from civilian courts, with any crimes committed by soldiers being decided in closed military tribunals."
trite,repeated too often; overfamiliar through overuse,The subject—a deathbed scene—might seem at first sight to be a trite and common one.
triumvirate,a group of three people responsible for civil authority,"This triumvirate approach has real benefits in terms of shared wisdom, and we will continue to discuss the big decisions among the three of us."
troth,a solemn pledge of fidelity,"She had pledged to him her troth, and she would not attempt to go back from her pledge at the first appearance of a difficulty."
turbid,clouded as with sediment,"The thick turbid sea rolled in, casting up mire and dirt from its depths."
tureen,large deep serving dish with a cover,Soups are presented in big tureens and can be quite good.
turgid,ostentatiously lofty in style,"His waspish wit can make him entertaining company at a party, but there is little evidence of that in his largely turgid prose."
tutelage,attention and management implying responsibility for safety,"It will do so under German leadership that grows less hesitant with each crisis, and without the American tutelage it enjoyed for so many decades."
tyro,someone new to a field or activity,"As yet he was merely a tyro, gaining practical experience under a veteran Zeppelin commander."
ulterior,lying beyond what is openly revealed or avowed,"Shop window displays may help prettify shopping thoroughfares, but any savvy retailer has the ulterior motive of self promotion."
unaffected,free of artificiality; sincere and genuine,His conversation was unaffectedly simple and frank; his language natural; always abounding in curious anecdotes.
unanimity,everyone being of one mind,"On all other points of colonial policy, Mackenzie declared, people would be found to differ, but as regards the post office there was absolute unanimity."
unassuming,not arrogant,Parr's conduct after his most heroic actions was thoroughly modest and unassuming.
unconscionable,greatly exceeding bounds of reason or moderation,"For generations in the New York City public schools, this has become the norm with devastating consequences rooted in unconscionable levels of student failure."
uncouth,lacking refinement or cultivation or taste,He had not stopped to consider her rough speech and uncouth manners.
unction,excessive but superficial compliments with affected charm,"""You couldn't ask too much of me,"" he returned, with no unction of flattery, but the cheerfully frank expression of an ingenuous heart."
undertake,enter upon an activity or enterprise,An autopsy has reportedly been undertaken but the results are not expected for several weeks.
undertaking,any piece of work that is attempted,"""Let my epitaph be, Here lies Joseph, who was unsuccessful in all his undertakings."""
unexceptionable,completely acceptable; not open to reproach,"All cowboys are from necessity good cooks, and the fluffy, golden brown biscuits and fragrant coffee of Red's making were unexceptionable."
unfaltering,marked by firm determination or resolution; not shakable,"Still unfaltering, the procession commenced to trudge back, the littlest boy and girl bearing themselves bravely, with lips tight pressed."
ungainly,lacking grace in movement or posture,Thomas looked up furtively and saw that an ungainly human figure with crooked legs was being led into the church.
unimpeachable,beyond doubt or reproach,"Whether we agree with the conclusions of these writers or not, the method of critical investigation which they adopt is unimpeachable."
unmitigated,not diminished or moderated in intensity or severity,"In order to be well directed, sympathy must consider all men, and not the individual alone; only then is it an unmitigated good."
unseemly,not in keeping with accepted standards of what is proper,The square mile's upbeat mood may strike some as unseemly at a time of national gloom.
untoward,not in keeping with accepted standards of what is proper,"Responding to criticism that cash payments are a classic means of tax evasion, he said he had done nothing untoward."
unwonted,out of the ordinary,"He must rush off to see his people, who no doubt were quite confounded by his unwonted energy."
upbraid,express criticism towards,"When Kahn warned of a serious economic ""depression"", he was upbraided by the White House for using such language."
upshot,a phenomenon that is caused by some previous phenomenon,The inevitable upshot of their growing social power was that brands wanted an expanded visual presence.
urbane,showing a high degree of refinement,"Polished, urbane and gentlemanly—his manners were calculated to refine all around him."
usurp,seize and take control without authority,"More than anything, though, officials expressed concern about reigniting longstanding Mexican concerns about the United States’ usurping Mexico’s authority."
utter,without qualification,No one can blame an honest mechanic for holding a wealthy snob in utter contempt.
vacate,leave behind empty; move out of,Their number diminished sharply after Villaraigosa announced last week that he wanted protesters to vacate the grounds by Monday or be forcibly removed.
vagary,an unexpected and inexplicable change in something,"Today such acquisitions are more likely to stay put, destined to survive both market fluctuations and the vagaries of style."
vain,unproductive of success,"An attempt was made to ignore this brilliant and irregular book, but in vain; it was read all over Europe."
vapid,lacking significance or liveliness or spirit or zest,"How vapid was the talk of my remaining fellow-passengers; how slow of understanding, and how preoccupied with petty things they seemed!"
vassal,a person who owes allegiance and service to a feudal lord,"And what was of still greater importance, he could only obtain taxes and soldiers from among the vassals, by the consent of their feudal lords."
vat,a large open vessel for holding or storing liquids,The cream remains in the large vat about twenty-four hours before it is churned.
venerable,impressive by reason of age,"Thus, after much more than two hundred years, the venerable building looks almost as it did when the first students entered its doors."
venerate,regard with feelings of respect and reverence,He venerated me like a being descended from an upper world.
venial,easily excused or forgiven,"The confidence of ignorance, however venial in youth, is not altogether so excusable, in full grown men."
venture,proceed somewhere despite the risk of possible dangers,Clearly he would not venture to descend while his enemy moved.
veracious,precisely accurate,"For proof, we cite the following veracious narrative, which bears within it every internal mark of truth, and matter for grave and serious reflection."
veritable,being truly so called; real or genuine,"The heavy rain had reduced this low-lying ground to a veritable quagmire, making progress very difficult even for one as unburdened as he was."
vestige,an indication that something has been present,"Now, there was no vestige of vegetation; no living thing."
vestment,a gown worn by the clergy,"And then a priest, arrayed in all his vestments, came in at the open door, and the prince and princess exchanged rings, and were married."
vex,"disturb, especially by minor irritations",There are vexing problems slowing the growth and the practical implementation of big data technologies.
vilify,spread negative information about,"The trial was televised and the victim's identity became known, resulting in her being vilified by almost the entire town."
vintner,someone who makes wine,"The question remains, he said, whether established vintners will change their winemaking practices or “continue to sell their schlock.”"
virtuoso,someone who is dazzlingly skilled in any field,"Each of the seven instrumentalists was a virtuoso in his own right and had ample opportunity to prove it, often in long, soulful solos."
visage,the human face,"An honest, quiet laugh often mantled his pale earnest visage."
viscid,having the sticky properties of an adhesive,Roads were quagmires where travellers slipped and laboured through viscid mud and over icy fords.
viscous,having the sticky properties of an adhesive,"Sluggish, blind crawling things like three-foot slugs flowed across their path and among the tree trunks, leaving viscous trails of slime behind them."
vitiate,make imperfect,His talent in writing is vitiated by his affectation and other faults.
vociferous,conspicuously and offensively loud,The complaints grew so loud and vociferous that even President Obama was forced to address the backlash from Lisbon on Saturday.
voluble,marked by a ready flow of speech,I find him charming: shy – yet easy to talk to – voluble and funny once he gets going.
waffle,pause or hold back in uncertainty or unwillingness,A few days of waffling back and forth and I ended up going out to a mediocre bistro with my parents.
waive,do without or cease to hold or adhere to,Low rates have also led retail brokerages to waive fees on money market funds to avoid negative returns for their clients.
wander,move or cause to move in a sinuous or circular course,"While each animal wandered through the maze, its brain was working furiously."
wanton,unprovoked or without motive or justification,"I am not a sentimentalist by any means, yet I abominate wanton cruelty."
warble,sing or play with trills,"Meadow larks, as you have undoubtedly noticed, warble many different songs."
warrant,show to be reasonable or provide adequate ground for,In the United Kingdom and Europe the devices are not used unless the need is warranted by the patient's medical condition.
wax,increase in phase,"Carols had existed for centuries, though their popularity waxed and waned as different governments and religious movements periodically declared them sinful."
waylay,wait in hiding to attack,"Sir Samuel Clithering was not, of course, a member of it; but he lurked about outside and waylaid us as we went in."
weigh,be oppressive or burdensome,"So far, the political turmoil has not appeared to have discouraged visitors, but prolonged strife could weigh on tourism."
welt,a raised mark on the skin,"But red, itchy welts typically appear within 24 to 48 hours of being bitten."
wheedle,"influence or urge by gentle urging, caressing, or flattering","On one level, I expected incessant flattery in attempts to wheedle equipment or even money from American forces."
whet,make keen or more acute,"While he described the fishing as “pretty good,” the silver salmon running in the creek only whetted his appetite to return to Alaska."
whittle,cut small bits or pare shavings from,"Tad followed, whittling on a stick with his knife and kicking at the shavings as they fell."
whorl,a round shape formed by a series of concentric circles,"The flowers are waxy, tubular, fragrant, turning their yellow petals backward in a whorl."
willful,habitually disposed to disobedience and opposition,I crossed my arms like a willful child.
wistful,showing pensive sadness,"She turned toward him, her face troubled, her eyes most wistful."
wizened,lean and wrinkled by shrinkage as from age or illness,"Kim Jong Il may be increasingly wizened and frail, with fingernails white from kidney disease, but his propaganda apparatus is as vigorous as ever."
wont,an established custom,"He made his customary slick feeds to open teammates, but as is their wont, the Nets struggled at times to convert points on his passes."
wraith,"a ghostly figure, especially one seen shortly before death","Whichever way he turns there loom past wraiths, restless as ghosts of unburied Grecian slain."
wrangle,"quarrel noisily, angrily, or disruptively","Here were many fierce and bitter wrangles over vexed questions, turbulent scenes, displays of sectional feelings."
wreak,cause to happen or to occur as a consequence,The burden of paying for college is wreaking havoc on the finances of an unexpected demographic: senior citizens.
wry,humorously sarcastic or mocking,She also has a very understated but very wry sense of humour; watch out for it.
yeoman,a free man who cultivates his own land,On one extreme was the well-to-do yeoman farmer farming his own land.
yield,give or supply,"It is a very important honey plant, as it yields an exceptionally pure nectar and remains in bloom a long time."
zealot,a fervent and even militant proponent of something,"""The public is going to just think of us as these zealots who want to ban smoking everywhere,"" he said."
zenith,the highest point of something,"In other words it never reaches the zenith, a point directly overhead."
zephyr,a slight wind,The dwellings and public buildings throughout Cuba are planned to give free passage to every zephyr that wafts relief from the oppressive heat.
